id,Confirmed
1,557.0
2,1097.0
3,941.0
4,1437.0
5,2118.0
6,2927.0
7,5578.0
8,6165.0
9,8235.0
10,9925.0
11,12038.0
12,16787.0
13,19881.0
14,23892.0
15,27636.0
16,30818.0
17,34392.0
18,37121.0
19,40151.0
20,42763.0
21,44803.0
22,45222.0
23,60370.0
24,66887.0
25,69033.0
26,71226.0
27,73260.0
28,75138.0
29,75641.0
30,76199.0
31,76843.0
32,78599.0
33,78985.0
34,79570.0
35,80415.0
36,81397.0
37,82756.0
38,84125.0
39,86012.0
40,88368.0
41,90311.0
42,92856.0
43,95127.0
44,97936.0
45,101763.0
46,105832.0
47,109820.0
48,113776.0
49,118587.0
50,125850.0
51,128329.0
52,145182.0
53,156084.0
54,167408.0
55,181571.0
56,197205.0
57,214983.0
58,242674.0
59,272268.0
60,304672.0
61,337867.0
62,378498.0
63,417891.0
64,467535.0
65,529674.0
66,593447.0
67,660731.0
68,720010.0
69,782363.0
70,857474.0
71,932424.0
72,1013000.0
73,1095745.0
74,1175839.0
75,1249493.0
76,1321234.0
77,1394919.0
78,1480228.0
79,1563672.0
80,1657110.0
81,1735167.0
82,1834310.0
83,1904355.0
84,1975657.0
85,2055574.0
86,2152147.0
87,2239794.0
88,2321117.0
89,2400898.0
90,2471984.0
91,2549043.0
92,2627680.0
93,2708317.0
94,2811332.0
95,2897485.0
96,2971887.0
97,3042300.0
98,3117208.0
99,3195905.0
100,3259204.0
101,3346773.0
102,3429780.0
103,3508943.0
104,3585275.0
105,3665091.0
106,3758517.0
107,3848861.0
108,3940353.0
109,4026678.0
110,4104021.0
111,4179418.0
112,4264437.0
113,4350082.0
114,4444827.0
115,4544933.0
116,4636788.0
117,4716823.0
118,4805347.0
119,4900621.0
120,4999271.0
121,5105338.0
122,5213965.0
123,5313390.0
124,5410156.0
125,5497542.0
126,5592934.0
127,5695051.0
128,5812589.0
129,5927813.0
130,6062339.0
131,6169759.0
132,6268961.0
133,6390317.0
134,6508987.0
135,6637300.0
136,6774861.0
